,Country,City,Date,Feels Like,Max Temp,Humidity,Cloudiness,Wind Speed,Lat,Lng
0,RU,Saskylakh,1603672468,-3.48,8.24,94,100,10.22,71.92,114.08
1,AU,Hobart,1603672189,47.86,60.01,54,75,12.75,-42.88,147.33
2,ID,Tual,1603672468,86.68,82.36,71,100,7.72,-5.67,132.75
3,US,Hilo,1603672459,75.83,87.8,55,20,17.22,19.73,-155.09
4,IR,Taft,1603672468,45.84,53.6,25,0,4.7,31.75,54.21
5,CA,Dunnville,1603672468,35.67,42.01,76,100,5.01,42.9,-79.62
6,AU,Carnarvon,1603672408,67.06,71.6,83,40,18.34,-24.87,113.63
7,BW,Maun,1603672469,74.14,82.4,24,0,11.41,-19.98,23.42
8,PF,Rikitea,1603672469,65.84,73.72,82,100,25.7,-23.12,-134.97
9,LR,New,1603672469,81.7,73.63,96,6,1.48,6.65,-10.59
10,TR,Akdağmadeni,1603672469,46.17,51.03,45,42,1.9,39.66,35.88
11,ZA,Saldanha,1603672469,52.02,55.4,87,0,6.93,-33.01,17.94
12,US,Fortuna,1603672469,50.67,59.0,66,1,10.29,40.6,-124.16
13,AR,Ushuaia,1603672469,42.85,48.2,66,20,4.7,-54.8,-68.3
14,PE,Hualmay,1603672469,60.91,63.19,84,80,8.75,-11.1,-77.61
15,US,Jamestown,1603672470,35.04,45.0,70,90,10.29,42.1,-79.24
16,US,Barrow,1603672252,15.19,24.8,79,90,8.05,71.29,-156.79
17,GB,Mount,1603672470,39.33,44.01,92,93,5.01,53.66,-1.85
18,PT,Lagoa,1603672434,61.63,64.51,71,100,7.81,39.05,-27.98
19,GF,Cayenne,1603672207,89.69,78.8,94,20,1.12,4.93,-52.33
20,CA,Tuktoyaktuk,1603672470,2.53,17.6,92,90,17.22,69.45,-133.04
21,KI,Butaritari,1603672470,84.47,81.41,69,33,8.34,3.07,172.79
22,US,Sulphur,1603672362,66.6,69.8,73,90,6.93,30.24,-93.38
23,ML,Kayes,1603672471,73.27,78.06,20,0,2.62,14.0,-11.0
24,NG,Bara,1603672471,71.33,73.78,36,30,2.33,10.37,10.73
25,TZ,Mgandu,1603672471,62.62,66.15,66,94,8.72,-5.95,34.13
26,ZA,Bredasdorp,1603672471,55.8,60.8,87,100,12.75,-34.53,20.04
27,MU,Mahébourg,1603672380,70.74,73.4,78,75,14.99,-20.41,57.7
28,PE,Huaraz,1603672471,52.9,56.05,64,100,3.13,-9.53,-77.53
29,TO,Vaini,1603672471,74.03,73.4,94,90,13.87,-21.2,-175.2
30,PH,Punta,1603672471,90.81,83.75,69,97,3.33,8.99,125.34
31,CA,Yellowknife,1603672471,19.6,28.4,79,75,6.93,62.46,-114.35
32,PL,Las,1603672472,29.71,46.0,3,0,13.0,49.74,19.43
33,US,Richards,1603672472,15.13,23.0,79,75,4.7,46.84,-95.91
34,NZ,Bluff,1603672472,47.26,54.0,59,73,8.01,-46.6,168.33
35,FR,Sète,1603672472,54.64,57.2,93,0,3.36,43.4,3.7
36,GB,Aberdeen,1603672198,35.53,48.2,81,20,17.22,57.14,-2.1
37,AU,Esperance,1603672245,50.09,64.4,48,0,23.04,-33.87,121.9
38,CA,Chapais,1603672472,19.81,26.6,79,90,3.36,49.78,-74.85
39,AU,Busselton,1603672473,62.96,73.99,47,0,12.46,-33.65,115.33
40,NZ,Mataura,1603672473,47.26,54.0,59,99,8.01,-46.19,168.86
41,US,College,1603672473,24.26,33.01,74,90,3.36,64.86,-147.8
42,ID,Bali,1603672473,98.02,84.2,94,40,2.24,-8.5,115.0
43,MV,Kudahuvadhoo,1603672417,87.13,82.24,75,62,8.16,2.67,72.89
44,PT,Porto,1603672354,43.12,53.6,87,40,15.32,41.15,-8.61
45,RU,Dalnerechensk,1603672473,37.99,43.63,71,0,4.43,45.93,133.72
46,GL,Qaanaaq,1603672409,-1.86,9.01,76,88,8.37,77.48,-69.36
47,LK,Hambantota,1603672474,82.2,73.4,100,20,1.12,6.12,81.12
48,CN,Yumen,1603672474,22.15,32.18,81,91,10.27,40.28,97.2
49,IS,Vestmannaeyjar,1603672391,39.92,44.17,73,0,2.35,63.44,-20.27
50,ES,El Puerto de Santa María,1603672474,57.97,60.8,93,75,8.05,36.59,-6.23
51,RU,Lavrentiya,1603672474,25.61,33.64,88,88,7.52,65.58,-171.0
52,MZ,Nampula,1603672369,73.72,71.01,88,75,4.7,-15.12,39.27
53,NZ,Kaitangata,1603672475,49.24,53.01,63,100,3.0,-46.28,169.85
54,AO,Benguela,1603672475,76.87,73.74,83,10,6.46,-12.58,13.41
55,CN,Baiyin,1603672475,33.51,46.99,47,0,4.47,36.56,104.21
56,BR,Mazagão,1603672475,86.59,82.4,74,20,9.17,-0.12,-51.29
57,ES,Ribeira,1603672475,39.42,44.6,87,75,3.36,42.75,-8.44
58,CL,Cape,1603672475,52.47,57.2,54,0,4.7,-36.41,-71.9
59,CD,Port,1603672476,79.52,77.2,59,100,2.89,-7.03,29.76
60,ID,Bengkulu,1603672476,81.66,76.24,84,100,4.9,-3.8,102.27
61,NZ,Waipawa,1603672476,52.02,66.2,72,100,26.4,-41.41,175.52
62,RE,Saint-Philippe,1603672369,63.36,68.0,68,0,5.82,-21.36,55.77
63,MV,Hithadhoo,1603672476,88.36,83.71,65,19,5.93,-0.6,73.08
64,IN,Tura,1603672332,77.77,71.24,94,0,1.43,25.52,90.22
65,CA,Thompson,1603672476,17.28,24.8,58,90,3.36,55.74,-97.86
66,RU,Tiksi,1603672410,-18.29,5.34,90,100,31.03,71.69,128.87
67,ES,Mar,1603672477,45.7,57.99,71,75,9.17,43.4,-4.01
68,GL,Upernavik,1603672407,5.13,13.89,77,65,5.1,72.79,-56.15
69,BR,Arraial,1603672477,67.86,68.0,82,0,5.82,-22.84,-46.65
70,GT,Nebaj,1603672477,56.8,55.99,100,96,1.9,15.41,-91.15
71,NO,Brønnøysund,1603672477,37.2,48.2,70,47,14.99,65.46,12.2
72,PH,Tuy,1603672477,81.34,80.6,83,90,16.11,14.02,120.73
73,RU,Nikolskoye,1603672478,35.92,42.8,93,90,6.71,59.7,30.79
74,RU,Pevek,1603672478,17.37,25.45,98,100,6.4,69.7,170.31
75,FI,Nivala,1603672478,30.15,37.99,96,100,8.99,63.92,24.97
76,PF,Atuona,1603672189,74.77,78.96,74,3,20.96,-9.8,-139.03
77,BR,Tefé,1603672478,83.7,75.69,90,96,1.7,-3.35,-64.71
78,CD,Butembo,1603672478,61.03,58.93,100,100,1.36,0.15,29.28
79,PT,Ponta,1603672478,59.49,61.54,80,100,6.58,38.73,-28.27
80,GL,Narsaq,1603672479,27.84,41.0,48,100,14.99,60.92,-46.05
81,PF,Tautira,1603672479,92.1,86.0,66,40,5.82,-17.73,-149.15
82,NC,Noumea,1603672199,83.32,87.8,43,0,12.75,-22.28,166.46
83,PT,Vila,1603672410,38.28,43.0,95,100,5.01,42.03,-8.16
84,CN,Zhangye,1603672479,33.46,39.15,55,21,2.01,38.93,100.45
85,CD,Port,1603672476,79.52,77.2,59,100,2.89,-7.03,29.76
86,RU,Talnakh,1603672386,-3.03,10.4,92,75,13.42,69.49,88.4
87,BR,Cabo,1603672479,86.38,80.6,74,20,4.7,-8.28,-35.03
88,JP,Naze,1603672480,73.54,75.2,57,40,8.05,28.37,129.48
89,PE,Huarmey,1603672480,60.49,63.07,85,96,9.42,-10.07,-78.15
90,CL,Ancud,1603672480,37.09,51.01,76,90,9.17,-41.87,-73.82
91,LK,Ratnapura,1603672480,81.79,76.06,76,0,1.59,6.68,80.4
92,ZA,Hermanus,1603672480,61.56,61.0,87,99,3.0,-34.42,19.23
93,BR,Conde,1603672480,83.66,77.0,88,0,4.7,-7.26,-34.91
94,NZ,Ahipara,1603672480,68.0,69.66,62,2,6.31,-35.17,173.17
95,CD,Lubumbashi,1603672481,60.62,64.94,43,100,4.41,-11.66,27.48
96,MM,Meiktila,1603672481,84.87,76.98,85,1,1.5,20.87,95.87
97,BR,Touros,1603672374,84.85,78.8,83,40,5.82,-5.2,-35.46
98,NZ,Kaeo,1603672481,70.45,73.0,66,0,11.01,-35.1,173.78
99,US,Pierre,1603672481,6.66,17.6,72,1,9.17,44.37,-100.35
100,BR,Ariquemes,1603672417,82.92,76.06,86,100,2.8,-9.91,-63.04
101,RU,Kyren,1603672481,11.5,19.35,83,27,4.29,51.68,102.14
102,NP,Jumla,1603672482,34.03,42.21,55,0,7.02,29.27,82.18
103,CA,Saint-Augustin,1603672482,20.7,31.69,84,0,12.08,51.23,-58.65
104,PH,Gigmoto,1603672407,83.46,81.46,82,100,15.28,13.78,124.39
105,BR,Xique-Xique,1603672482,82.08,79.39,70,98,7.7,-10.82,-42.73
106,MU,Souillac,1603672482,70.74,73.4,78,75,14.99,-20.52,57.52
107,US,Moose,1603672482,5.38,21.2,52,1,11.41,43.66,-110.72
108,US,Rodeo,1603672483,58.46,72.0,18,1,9.17,38.03,-122.27
109,PG,Angoram,1603672483,91.54,83.5,76,90,4.21,-4.06,144.07
110,AO,Soyo,1603672483,81.14,76.26,87,99,6.85,-6.13,12.37
111,RU,Kortkeros,1603672483,21.56,28.4,92,75,4.47,61.81,51.58
112,RO,Asău,1603672483,52.88,53.01,98,99,1.61,46.43,26.4
113,DO,Lázaro,1603672483,87.71,82.99,67,100,5.99,19.46,-71.33
114,TH,Yala,1603672483,85.55,77.0,94,20,3.36,6.33,101.25
115,US,Salinas,1603672392,55.35,64.4,63,1,11.41,36.68,-121.66
116,TD,Adré,1603672484,61.66,72.79,23,0,13.62,13.47,22.2
117,PH,Sarangani,1603672484,87.57,83.71,74,100,11.05,5.4,125.46
118,US,Sitka,1603672484,30.43,41.0,86,90,13.87,57.05,-135.33
119,GL,Tasiilaq,1603672484,17.35,32.0,97,100,19.46,65.61,-37.64
120,PH,Marawi,1603672485,87.12,78.01,87,100,1.01,8.0,124.29
121,JP,Katsuura,1603672427,60.17,64.99,55,75,6.93,35.13,140.3
122,US,Albany,1603672399,35.55,42.01,55,2,2.08,42.6,-73.97
123,ZA,Kruisfontein,1603672485,64.36,62.01,95,100,1.99,-34.0,24.73
124,LT,Palanga,1603672485,41.76,50.0,93,59,13.87,55.92,21.07
125,CA,Inuvik,1603672305,10.98,21.2,92,90,9.17,68.35,-133.72
126,MR,Atar,1603672485,80.6,88.12,15,100,7.74,20.52,-13.05
127,PL,Malbork,1603672486,45.09,50.0,89,27,5.99,54.04,19.03
128,ID,Padang,1603672486,86.54,80.53,67,100,1.59,-0.95,100.35
129,CN,Mujiayingzi,1603672486,47.3,54.43,41,71,6.11,42.12,118.78
130,RE,Saint-Pierre,1603672486,63.48,68.0,68,0,5.82,-21.34,55.48
131,CK,Avarua,1603672486,77.36,78.8,65,69,12.75,-21.21,-159.78
132,AU,Emerald,1603672486,76.53,79.0,47,18,8.05,-23.53,148.17
133,US,Weymouth,1603672357,37.42,48.0,75,100,10.29,42.22,-70.94
134,US,Kahului,1603672395,78.15,93.2,46,40,17.22,20.89,-156.47
135,AU,Bundaberg,1603672288,83.21,84.99,54,75,12.75,-24.85,152.35
136,CN,Hohhot,1603672240,34.16,48.2,29,0,15.66,40.81,111.65
137,ID,Sampit,1603672487,86.86,78.06,90,96,2.64,-2.53,112.95
138,FR,Arrondissement de Clermont,1603672487,37.72,48.2,87,75,13.87,49.5,2.42
139,RU,Evensk,1603672487,22.66,34.54,86,100,14.43,61.95,159.23
140,TZ,Micheweni,1603672488,82.69,77.41,82,86,5.53,-4.97,39.83
141,LK,Wattegama,1603672488,82.2,73.4,100,20,1.12,6.8,81.48
142,CA,Iqaluit,1603672403,7.7,15.8,78,90,3.36,63.75,-68.51
143,MG,Ampanihy,1603672488,73.31,71.69,64,100,2.19,-24.7,44.75
144,PE,Talara,1603672488,60.53,63.99,88,3,12.19,-4.58,-81.27
145,BR,Castro,1603672488,61.09,61.16,97,2,6.15,-24.79,-50.01
146,IS,East,1603672488,28.04,39.2,93,90,14.99,65.0,-15.0
147,CL,Lebu,1603672488,43.59,47.89,77,10,4.05,-37.62,-73.65
148,AO,Mossamedes,1603672488,67.57,67.75,82,16,7.52,-15.2,12.15
149,AU,Karratha,1603672267,75.29,80.19,43,67,11.81,-20.74,116.85
150,RU,Gay,1603672489,45.54,51.8,93,75,11.18,51.47,58.46
151,PE,Paita,1603672489,59.45,63.37,87,10,12.41,-5.09,-81.11
152,ID,Manokwari,1603672453,91.58,83.68,68,100,1.34,-0.87,134.08
153,US,Grand,1603672489,13.12,34.0,92,100,22.24,38.88,-109.5
154,BR,Belmonte,1603672489,80.51,77.0,88,75,10.29,-15.86,-38.88
155,PW,Kloulklubed,1603672392,93.74,86.0,70,75,4.7,7.04,134.26
156,RU,Khatanga,1603672489,-5.66,5.94,95,95,9.8,71.97,102.5
157,US,Kapaa,1603672489,87.12,82.99,74,40,9.17,22.08,-159.32
158,PF,Fare,1603672323,84.9,80.33,71,0,5.48,-16.7,-151.02
159,AR,Rawson,1603672490,51.64,59.5,34,27,7.38,-43.3,-65.1
160,GL,Kangaatsiaq,1603672490,10.78,20.89,86,100,8.68,68.31,-53.46
161,US,Bethel,1603672490,39.16,48.2,57,90,8.05,41.37,-73.41
162,MR,Adrar,1603672490,78.01,86.58,13,57,8.32,20.5,-10.07
163,CN,Kuandian,1603672490,48.6,52.11,60,0,1.83,40.73,124.78
164,PH,Isabela,1603672490,86.41,78.8,94,90,6.93,6.71,121.97
165,RU,Zheleznodorozhnyy,1603672490,42.76,48.2,87,75,4.47,55.75,38.0
166,IS,Olafsvik,1603672491,27.3,41.76,81,99,20.54,64.89,-23.71
167,BR,Itarema,1603672491,80.31,79.79,80,0,15.5,-2.92,-39.92
168,US,Lompoc,1603672280,57.45,64.4,72,75,10.29,34.64,-120.46
169,UY,Rocha,1603672491,68.41,66.02,96,100,5.03,-34.48,-54.33
170,RU,Chokurdakh,1603672491,-5.4,6.15,92,0,9.69,70.63,147.92
171,PH,Alugan,1603672369,84.87,81.9,82,100,14.0,12.22,125.48
172,RU,Dikson,1603672489,8.82,20.14,98,100,11.16,73.51,80.55
173,CL,Valparaíso,1603672320,55.67,59.0,77,0,6.93,-33.04,-71.63
174,JP,Sakaiminato,1603672492,55.89,57.2,82,20,3.36,35.55,133.23
175,DE,Schieder-Schwalenberg,1603672492,47.23,52.0,95,100,5.64,51.88,9.2
176,TR,Uşak Province,1603672492,55.81,59.05,44,0,0.87,38.5,29.42
177,RU,Nizhniy,1603672492,54.41,57.99,93,97,6.71,45.39,39.24
178,ID,Pringsewu,1603672492,83.3,78.71,75,100,5.5,-5.36,104.97
179,ID,Ternate,1603672433,90.99,84.15,69,100,4.07,0.8,127.4
180,PG,Kavieng,1603672493,86.9,82.58,77,100,10.33,-2.57,150.8
181,CN,Xiongyue,1603672493,52.68,58.69,63,100,9.06,40.18,122.12
182,RU,Nizhniy,1603672493,54.41,57.99,93,97,6.71,45.39,39.24
183,FO,Klaksvík,1603672493,35.89,42.8,87,2,8.05,62.23,-6.59
184,PE,Sayán,1603672493,68.38,68.11,62,100,2.06,-11.14,-77.19
185,MX,Guerrero,1603672405,69.96,68.02,77,63,2.73,17.67,-100.0
186,TR,Erzin,1603672493,54.05,60.8,62,0,3.71,36.96,36.2
187,CA,Sept-Îles,1603672493,20.37,33.01,63,5,8.61,50.2,-66.38
188,IN,Sāmba,1603672494,61.18,64.4,48,20,3.36,32.57,75.12
189,AU,Yulara,1603672494,53.8,68.0,24,0,18.34,-25.24,130.99
190,ET,Batī,1603672494,58.08,62.49,46,0,4.38,11.18,40.02
191,RU,Novikovo,1603672494,41.97,44.6,87,0,1.05,51.15,37.89
192,IR,Behbahān,1603672494,57.36,60.8,44,0,1.74,30.6,50.24
193,RU,Kazanskaya,1603672494,50.83,57.0,70,87,9.89,45.41,40.44
194,PL,Las,1603672494,29.71,46.0,3,0,13.0,49.74,19.43
195,RU,Vyazemskiy,1603672494,39.34,45.27,69,0,5.19,47.54,134.75
196,FI,Rovaniemi,1603672412,16.03,30.2,100,90,18.34,66.5,25.72
197,NU,Alofi,1603672494,78.69,78.8,78,90,14.99,-19.06,-169.92
198,RU,Cherskiy,1603672495,10.54,16.66,96,100,1.34,68.75,161.3
199,RU,Mys,1603672495,14.59,22.17,97,86,4.83,62.06,48.62
200,SO,Hobyo,1603672495,86.02,79.21,83,76,4.88,5.35,48.53
201,ID,Atambua,1603672495,92.98,87.13,54,37,1.79,-9.11,124.89
202,AU,Moranbah,1603672495,84.9,87.51,27,99,4.47,-22.0,148.05
203,US,Bay,1603672495,38.82,46.0,70,90,5.59,43.73,-84.02
204,RU,Suzun,1603672327,26.17,37.45,89,98,14.36,53.78,82.31
205,JP,Hasaki,1603672373,55.51,61.0,67,75,4.7,35.73,140.83
206,RU,Egvekinot,1603672434,16.39,23.22,93,0,3.51,66.32,-179.17
207,RU,Ostrovnoy,1603672496,21.87,30.0,95,100,7.31,68.05,39.51
208,CF,Bouca,1603672496,75.02,70.21,89,100,2.28,6.51,18.27
209,IN,Harindānga,1603672496,84.15,77.0,94,20,5.84,22.04,88.32
210,CN,Ürümqi,1603672450,29.52,37.4,69,0,6.71,43.8,87.6
211,BB,Bathsheba,1603672382,83.1,80.6,83,40,13.87,13.22,-59.52
212,RU,Krasnozerskoye,1603672497,27.82,39.04,93,100,15.05,53.98,79.24
213,PH,Pandan,1603672497,82.42,81.9,81,100,17.94,14.05,124.17
214,US,Chalmette,1603672497,70.12,73.4,73,1,5.82,29.94,-89.96
215,CD,Port,1603672476,79.52,77.2,59,100,2.89,-7.03,29.76
216,RU,Provideniya,1603672497,27.72,35.6,74,90,6.71,64.38,-173.3
217,ID,Meulaboh,1603672379,83.16,77.13,84,100,4.61,4.14,96.13
218,GL,Qaqortoq,1603672460,27.84,41.0,48,100,14.99,60.72,-46.03
219,CD,Port,1603672498,79.52,77.2,59,100,2.89,-7.03,29.76
220,US,Estelle,1603672498,73.58,72.0,92,0,3.87,29.85,-90.11
221,PH,Sulangan,1603672498,81.25,81.19,80,100,17.69,11.14,123.72
222,US,Portland,1603672021,37.38,46.0,33,17,1.99,45.52,-122.68
223,RU,Vad,1603672498,33.28,38.98,90,100,4.99,55.53,44.21
224,US,Saint Paul Harbor,1603672384,44.28,48.2,87,90,4.7,57.79,-152.41
225,GH,Mumford,1603672498,82.98,77.83,90,0,8.88,5.26,-0.76
226,IN,Sao,1603672498,72.88,69.71,76,0,1.41,20.51,76.21
227,AU,Kingaroy,1603672499,74.62,75.99,57,40,6.93,-26.53,151.83
228,AU,Alyangula,1603672328,85.05,77.0,88,90,2.24,-13.85,136.42
229,CN,Linqiong,1603672499,67.5,68.0,100,40,2.17,30.42,103.46
230,BR,Tutóia,1603672499,83.46,81.07,81,86,13.8,-2.76,-42.27
231,ID,Sumenep,1603672499,91.78,85.86,65,95,5.55,-7.02,113.87
232,ML,San,1603672499,72.18,79.72,17,0,6.8,13.3,-4.9
233,RU,Bilibino,1603672402,15.12,20.66,94,100,0.85,68.05,166.44
234,AU,Mareeba,1603672499,89.33,87.01,62,41,8.05,-17.0,145.43
235,HK,Hong Kong,1603672424,71.44,77.0,78,100,15.64,22.29,114.16
236,ZM,Mwinilunga,1603672500,60.55,63.43,43,78,1.34,-11.74,24.43
237,UA,Markova,1603672500,48.54,50.41,87,98,1.97,48.68,24.41
238,JP,Hirado,1603672500,67.41,70.0,87,20,5.82,33.36,129.55
239,BR,Palmas,1603672500,89.38,80.6,78,40,0.85,-10.21,-48.36
240,US,Ascension,1603672500,70.34,69.8,83,40,4.05,30.22,-90.9
241,IN,Palāsbāri,1603672500,87.58,77.0,100,75,1.72,26.14,91.55
242,HT,Jacmel,1603672501,81.88,84.2,70,100,20.8,18.23,-72.53
243,NL,Fort,1603672501,47.32,50.0,91,98,3.0,52.65,6.39
244,CA,Smithers,1603672501,19.06,24.8,68,90,0.67,54.78,-127.17
245,RU,Ekhabi,1603672501,24.26,40.1,91,100,23.4,53.51,142.97
246,YE,Marzuq,1603672501,56.25,60.93,32,0,1.68,14.4,46.47
247,RU,Volokolamsk,1603672502,39.74,44.2,83,88,3.78,56.03,35.97
248,BR,Camaquã,1603672502,67.57,67.62,89,100,8.93,-30.85,-51.81
249,FI,Kristinestad,1603672502,39.9,49.59,96,100,16.64,62.27,21.38
250,BR,Cidreira,1603672371,60.76,69.62,87,100,25.55,-30.18,-50.21
